                                         | local | global | comments |
roadsDBcherna.sqf                        |=======|========|          |
roadsDBAltis.sqf                         |=======|========|          |
roadsDB.sqf                              |=======|========|          |
initVar.sqf                              |~~~~~~~|        |          |
wavedCA.sqf                              |=======|        |          |
CONVOY.sqf                               |=======|        |          |
patrolCA.sqf                             |=======|        |          |
briefing.sqf                             |=======|        |          |
initPlayerLocal.sqf                      |=======|        |          |
initZones.sqf                            |=======|        |          |
autoRearm.sqf                            |=======|        |          |
Shit Jeroen.sqf                          |=======|        |          |
saveFuncs.sqf                            |=======|        |          |
ataqueAAF.sqf                            |=======|        |          |
createAIaerop.sqf                        |=======|        |          |
attackDrillAI.sqf                        |=======|        |          |
Shit Jeroen1.sqf                         |=======|        |          |
distancias5.sqf                          |=======|        |          |
distancias4.sqf                          |=======|        |          |
construir.sqf                            |=======|        |          |
CSATpunish.sqf                           |=======|        |          |
missionrequest.sqf                       |=======|        |          |
saveLoop.sqf                             |=======|        |          |
defendDrillAI.sqf                        |=======|        |          |
createAIcontroles.sqf                    |=======|        |          |
createAIpuestos.sqf                      |=======|        |          |
loadAccount.sqf                          |=======|        |          |
flagaction.sqf                           |=======|        |          |
FIAinit.sqf                              |=======|        |          |
AIVEHinit.sqf                            |=======|        |          |
undercover.sqf                           |=======|        |          |
DES_Heli.sqf                             |=======|        |          |
AS_Traidor.sqf                           |=======|        |          |
RES_Refugiados.sqf                       |=======|        |          |
addFIAsquadHC.sqf                        |=======|        |          |
ayudar.sqf                               |=======|        |          |
markerChange.sqf                         |=======|        |          |
artySupport.sqf                          |=======|        |          |
LOG_Bank.sqf                             |=======|        |          |
resourcecheck.sqf                        |=======|        |          |
autoLoot.sqf                             |       |        |          |
onPlayerRespawn.sqf                      |       |        |          |
createAIrecursos.sqf                     |       |        |          |
garage2.sqf                              |       |        |          |
cityinfo.sqf                             |       |        |          |
ataqueHQ.sqf                             |       |        |          |
createCIV.sqf                            |       |        |          |
malosRHSUSAF.sqf                         |       |        |          |
FIAinitBASES.sqf                         |       |        |          |
initServer.sqf                           |       |        |          |
LOG_Suministros.sqf                      |       |        |          |
patrolReinf.sqf                          |       |        |          |
Composition_table.sqf                    |       |        |          |
actionRevive.sqf                         |       |        |          |
buildMinefield.sqf                       |       |        |          |
AAFroadPatrol.sqf                        |       |        |          |
inconsciente.sqf                         |       |        |          |
addFIAveh.sqf                            |       |        |          |
muyMalosRHSAFRF.sqf                      |       |        |          |
arsenalManage.sqf                        |       |        |          |
fastTravelRadio.sqf                      |       |        |          |
RES_Prisioneros.sqf                      |       |        |          |
NATOinit.sqf                             |       |        |          |
malosRHSGREF.sqf                         |       |        |          |
REP_Antena.sqf                           |       |        |          |
initGarrisons.sqf                        |       |        |          |
LOG_Ammo.sqf                             |       |        |          |
placementselection.sqf                   |       |        |          |
DES_Vehicle.sqf                          |       |        |          |
malosVanillaAltis.sqf                    |       |        |          |
buenosRHSUSAF.sqf                        |       |        |          |
malosVanilla.sqf                         |       |        |          |
createSDKgarrisons.sqf                   |       |        |          |
muyMalosVanilla.sqf                      |       |        |          |
napalm.sqf                               |       |        |          |
airstrike.sqf                            |       |        |          |
tags.sqf                                 |       |        |          |
malosVanillaAltisB.sqf                   |       |        |          |
staticMGDrill.sqf                        |       |        |          |
addToGarrison.sqf                        |       |        |          |
buenosVanilla.sqf                        |       |        |          |
buenosRHSGREF.sqf                        |       |        |          |
muyMalosVanillaAltis.sqf                 |       |        |          |
munitionTransfer.sqf                     |       |        |          |
garrisonDialog.sqf                       |       |        |          |
buenosVanillaAltis.sqf                   |       |        |          |
muyMalosIFA.sqf                          |       |        |          |
crearPuestosFIA.sqf                      |       |        |          |
malosIFA.sqf                             |       |        |          |
musica.sqf                               |       |        |          |
vehStats.sqf                             |       |        |          |
intelFound.sqf                           |       |        |          |
buenosVanillaAltisB.sqf                  |       |        |          |
economicsAI.sqf                          |       |        |          |
initPetros.sqf                           |       |        |          |
handleDamage.sqf                         |       |        |          |
init.sqf                                 |       |        |          |
buenosIFA.sqf                            |       |        |          |
AS_Oficial.sqf                           |       |        |          |
NATObomb.sqf                             |       |        |          |
milBuildings.sqf                         |       |        |          |
AS_specOP.sqf                            |       |        |          |
airdrop.sqf                              |       |        |          |
fastrope.sqf                             |       |        |          |
inconscienteAAF.sqf                      |       |        |          |
onPlayerDisconnect.sqf                   |       |        |          |
rebuildAssets.sqf                        |       |        |          |
artilleria.sqf                           |       |        |          |
squad_recruit.sqf                        |       |        |          |
WPCreate.sqf                             |       |        |          |
reinforcementsAI.sqf                     |       |        |          |
init.sqf                                 |       |        |          |
typeOfSoldier.sqf                        |       |        |          |
createAIciudades.sqf                     |       |        |          |
createFIApuestos2.sqf                    |       |        |          |
CON_Puestos.sqf                          |       |        |          |
puestoDialog.sqf                         |       |        |          |
napalmDamage.sqf                         |       |        |          |
DES_Antena.sqf                           |       |        |          |
handleDamageAAF.sqf                      |       |        |          |
statistics.sqf                           |       |        |          |
mortarDrill.sqf                          |       |        |          |
transfer.sqf                             |       |        |          |
init.sqf                                 |       |        |          |
MON_artillery_add.sqf                    |       |        |          |
mineSweep.sqf                            |       |        |          |
respawn.sqf                              |       |        |          |
NATOFT.sqf                               |       |        |          |
powerReorg.sqf                           |       |        |          |
AAFKilledEH.sqf                          |       |        |          |
AIreactOnKill.sqf                        |       |        |          |
garageVehicle.sqf                        |       |        |          |
assignStavros.sqf                        |       |        |          |
mrkUpdate.sqf                            |       |        |          |
pedirAyuda.sqf                           |       |        |          |
recompile.sqf                            |       |        |          |
controlunit.sqf                          |       |        |          |
RHSdress.sqf                             |       |        |          |
surrenderAction.sqf                      |       |        |          |
moveHQ.sqf                               |       |        |          |
cobertura.sqf                            |       |        |          |
inmuneConvoy.sqf                         |       |        |          |
garrisonUpdate.sqf                       |       |        |          |
NATOCrate.sqf                            |       |        |          |
dismissPlayerGroup.sqf                   |       |        |          |
buy_vehicle.sqf                          |       |        |          |
ambientCivs.sqf                          |       |        |          |
reinfplayer.sqf                          |       |        |          |
mineDialog.sqf                           |       |        |          |
